Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.13199661672115326,0.1283898949623108,0.41059955954551697,0.06462607532739639,0.08563248068094254,0.04319898411631584,0.044938042759895325,0.012090882286429405,0.0628451257944107,0.015682337805628777
2,0.09040971845388412,0.09681431949138641,0.26719042658805847,0.022824594751000404,0.03863827884197235,0.06423800438642502,0.06678853929042816,0.016629599034786224,0.30955493450164795,0.026911556720733643
3,0.5986711978912354,0.029239285737276077,0.016424236819148064,0.024647019803524017,0.04791216179728508,0.03538022190332413,0.04814527928829193,0.14072255790233612,0.011993955820798874,0.04686404764652252
4,0.9276713132858276,0.03247442841529846,0.00330347684212029,0.005216966848820448,0.005846654996275902,0.00392616493627429,0.010835537686944008,0.003530848305672407,0.003493302268907428,0.003701327834278345
5,0.9556577801704407,0.010338811203837395,0.002964614424854517,0.0034206334967166185,0.006014327052980661,0.006269194185733795,0.004114520736038685,0.004515955224633217,0.0023827662225812674,0.004321389831602573
6,0.33665522933006287,0.0073015992529690266,0.009106853976845741,0.018074236810207367,0.10821674764156342,0.1341903954744339,0.05326484888792038,0.311403751373291,0.006056269630789757,0.015730062499642372
7,0.1252293437719345,0.0723872035741806,0.05462361127138138,0.09097845107316971,0.06778937578201294,0.22974209487438202,0.047904081642627716,0.026237474754452705,0.25703129172325134,0.028077075257897377
8,0.7053400278091431,0.02728709951043129,0.014141477644443512,0.03972935676574707,0.06449022144079208,0.02247774787247181,0.04099009558558464,0.05736684426665306,0.007481169421225786,0.0206960067152977
9,0.8321123123168945,0.009123424999415874,0.008511046878993511,0.005556685850024223,0.017470087856054306,0.008821525610983372,0.012540577910840511,0.09055215865373611,0.004447326995432377,0.010864906013011932
10,0.4928429126739502,0.3785330057144165,0.03271343186497688,0.021576600149273872,0.012563765980303288,0.021801341325044632,0.010885906405746937,0.010639304295182228,0.009785165078938007,0.008658521808683872
11,0.7908614277839661,0.018311699852347374,0.009651092812418938,0.007184843998402357,0.041706331074237823,0.008928279392421246,0.04491109028458595,0.05221029371023178,0.00634926138445735,0.019885679706931114
